census_tract,total_pop,white_pop,black_pop,asian_pop,median_income
17031010100,4534,2005,1751,81,60316
17031010201,8232,2663,3269,365,43750
17031010202,3124,1206,1032,174,45096
17031010300,6085,3057,1759,215,60846
17031010400,4587,3619,498,240,43024
17031010501,4057,2487,984,274,47364
17031010502,2816,1690,508,168,48831
17031010503,2182,1682,258,109,16399
17031010600,6553,3743,1422,265,58993
17031010701,3646,1735,704,200,64007
17031010702,5014,1654,2041,215,48799
17031020100,3972,1374,1359,194,50041
17031020200,7159,3452,636,1175,99987
17031020301,5303,4279,163,486,62917
17031020302,5348,3764,474,605,78987
17031020400,4115,1936,894,507,63092
17031020500,6560,2149,949,2519,38271
17031020601,5937,3850,238,1330,57250
17031020602,5823,2734,494,1279,78293
17031020701,1728,1253,154,139,83571
17031020702,8659,5162,202,2194,55451
17031020801,6025,3304,916,907,57127
17031020802,8514,3010,463,2700,57224
17031020901,6237,2192,1659,1469,47316
17031020902,4517,1936,849,1385,42816
17031030101,3699,1647,866,745,40776
17031030102,3147,1414,437,941,47366
17031030103,2459,1344,522,299,54519
17031030104,3245,2153,227,588,36318
17031030200,5995,4125,175,193,92260
17031030300,3828,1878,562,594,52382
17031030400,2764,1963,152,207,92650
17031030500,6703,5027,381,180,101063
17031030601,3789,1755,971,821,46250
17031030603,2361,1376,623,240,45263
17031030604,3234,1865,694,413,55093
17031030701,1509,767,511,156,40357
17031030702,2323,1412,53,707,66016
17031030703,2995,1880,523,179,51750
17031030706,2720,1731,457,460,58639
17031030800,4164,3374,200,282,87065
17031030900,3149,2322,165,407,93093
17031031000,3830,3041,60,206,98929
17031031100,4685,3586,315,304,77672
17031031200,5878,2156,2037,889,29214
17031031300,7237,4209,1114,1364,58828
17031031400,4934,3856,219,519,80580
17031031501,4684,1601,1715,827,43416
17031031502,4878,1889,2176,109,40074
17031031700,6355,4676,911,339,74615
17031031800,2014,1259,92,264,76921
17031031900,2599,2015,263,146,87694
17031032100,7944,5647,556,1137,68444
17031040100,3982,2954,371,111,90000
17031040201,6980,5280,149,540,91436
17031040202,7726,3448,393,1769,48262
17031040300,2988,1651,216,855,94973
17031040401,3440,2542,150,240,111389
17031040402,4621,3756,75,261,91016
17031040600,2817,2119,250,9,83042
17031040700,3667,2853,130,387,103690
17031040800,1689,1393,32,86,94943
17031040900,1816,1661,11,59,76538
17031050100,2769,2359,62,121,119622
17031050200,5915,4681,62,310,134773
17031050300,2755,1780,16,468,149034
17031050500,5587,4674,2,437,132500
17031050600,2188,1939,12,92,105469
17031050700,1501,1324,0,32,115787
17031050800,1439,987,59,77,150250
17031050900,1532,1269,37,49,121071
17031051000,1746,1462,47,97,156898
17031051100,1939,1514,22,74,161750
17031051200,1564,1303,43,60,154114
17031051300,3249,2670,245,28,199977
17031051400,2428,1756,172,308,138250
17031060100,3211,2594,123,271,105875
17031060200,2188,1795,46,58,83854
17031060300,2902,2271,52,215,123750
17031060400,3804,3398,16,234,146111
17031060500,1241,912,31,209,52652
17031060800,5203,3798,227,637,77436
17031060900,7223,6000,193,516,80670
17031061000,2283,1725,36,425,111728
17031061100,1399,1140,57,28,92750
17031061200,2095,1853,34,67,120865
17031061500,2050,1711,81,66,126750
17031061800,1305,1008,24,172,65238
17031061901,3348,2377,283,263,54192
17031061902,4988,3975,333,501,79254
17031062000,3181,2626,115,109,98828
17031062100,3521,2989,121,294,96510
17031062200,3145,2694,41,195,165083
17031062300,1639,1337,33,109,181250
17031062400,1622,1432,79,10,141328
17031062500,1557,1324,45,168,157143
17031062600,2474,1938,17,287,187857
17031062700,3066,2617,38,147,139477
17031062800,3613,3162,55,163,154911
17031062900,3956,2974,166,263,146341
17031063000,3315,2548,164,243,99792
17031063100,2343,2050,0,118,96188
17031063200,6387,5500,365,316,68710
17031063301,3008,2208,298,206,63889
17031063302,4010,3464,121,298,84319
17031063303,1180,981,0,194,93625
17031063400,2737,2253,88,243,113512
17031070101,4054,3430,78,189,81708
17031070102,3359,2756,245,138,87912
17031070103,1408,1165,86,104,72625
17031070200,4092,3278,143,335,103402
17031070300,3558,3187,26,160,177351
17031070400,3420,2902,77,305,210147
17031070500,3264,2763,195,125,144389
17031070600,3235,2853,10,210,250001
17031070700,3834,2595,365,492,150903
17031071000,4918,4070,311,328,203491
17031071100,3425,2694,31,403,190380
17031071200,2217,1699,133,175,132000
17031071300,3996,3307,29,464,101848
17031071400,4799,4080,197,289,109174
17031071500,6110,5272,135,424,101594
17031071600,1969,1579,131,196,166875
17031071700,1628,1249,167,179,146875
17031071800,2752,2173,265,257,192102
17031080100,6886,6023,41,561,114375
17031080201,3199,2764,65,202,120203
17031080202,3758,3338,76,163,98897
17031080300,5018,4004,33,772,145759
17031080400,4699,1672,2291,330,-666666666
17031081000,8485,5952,1032,1010,76369
17031081100,4453,3483,366,311,83763
17031081201,4684,3836,129,501,122212
17031081202,3275,2768,110,104,174151
17031081300,5860,4491,306,707,107841
17031081401,2247,1689,53,277,75278
17031081402,5613,3476,276,1352,126910
17031081403,8984,5542,174,2757,104447
17031081500,4766,2871,103,1673,131579
17031081600,3659,2826,97,465,126705
17031081700,4677,3339,197,682,116719
17031081800,11295,8515,217,1270,159515
17031081900,1197,799,305,55,175833
17031090100,3492,3080,36,159,115161
17031090200,6540,5957,40,77,114385
17031090300,1462,1250,0,0,103421
17031100100,5831,5132,0,110,100985
17031100200,7309,5295,233,397,101330
17031100300,6393,5670,87,236,75763
17031100400,3476,2847,3,321,127019
17031100500,5629,4601,1,287,92576
17031100600,5093,3671,42,365,68417
17031100700,5504,4528,63,632,107723
17031110100,5777,4160,47,998,88630
17031110200,2857,2243,214,121,68043
17031110300,5537,3787,13,652,101375
17031110400,4551,3100,110,369,73633
17031110501,5087,3321,271,709,95609
17031110502,3363,2173,106,423,63891
17031120100,4470,3975,1,238,148306
17031120200,4862,3832,95,682,129028
17031120300,7214,5879,4,859,136316
17031120400,3765,2326,0,795,112639
17031130100,4888,3284,108,1250,50385
17031130200,1497,935,18,181,97361
17031130300,5481,2391,217,2021,61905
17031140100,3334,1821,187,244,65388
17031140200,6669,2808,391,1003,63241
17031140301,2983,634,33,729,63289
17031140302,3685,1798,215,455,66895
17031140400,5765,3266,98,1175,87308
17031140500,3466,1712,172,406,77120
17031140601,2821,1264,312,441,77727
17031140602,4972,2338,482,384,54679
17031140701,3046,1081,182,620,79211
17031140702,5806,2730,122,374,61500
17031140800,6100,4181,41,288,88836
17031150200,7556,5307,105,685,77538
17031150300,7373,5826,113,432,77384
17031150401,4925,3206,70,534,69925
17031150402,3795,2595,160,180,88320
17031150501,3803,2598,38,475,114375
17031150502,4222,2710,100,480,68997
17031150600,4378,2654,73,324,85570
17031150700,4375,2861,111,256,89554
17031150800,5152,2853,129,33,81164
17031151001,2870,1406,9,160,85670
17031151002,5363,2254,99,24,68906
17031151100,5683,3311,59,358,69875
17031151200,3886,2567,12,232,80907
17031160100,2847,1896,0,469,88625
17031160200,3325,2588,87,365,113482
17031160300,3475,2329,145,515,74125
17031160400,4790,3200,118,380,70764
17031160501,3718,1895,433,433,75563
17031160502,3919,2341,72,261,82742
17031160601,3196,2109,97,213,73796
17031160602,3743,2293,110,261,78250
17031160700,6275,3957,254,531,76469
17031160800,5604,3177,24,283,75088
17031160900,2512,1673,101,178,91615
17031161000,2098,1603,43,93,95144
17031161100,2171,1601,225,65,137750
17031161200,2945,1787,135,218,62833
17031161300,3662,2171,87,77,49460
17031170100,2125,1689,110,205,48438
17031170200,3969,2565,4,176,80550
17031170300,5225,3663,14,195,78913
17031170400,4334,3045,205,178,85066
17031170500,5309,4098,82,399,91713
17031170600,2390,1875,35,172,70925
17031170700,3357,2681,0,144,75854
17031170800,4086,2843,387,335,62165
17031170900,2161,1422,0,19,74706
17031171000,6807,4799,500,277,80034
17031171100,4514,2793,152,302,84777
17031180100,6463,4200,175,175,61368
17031190100,2353,884,54,50,48352
17031190200,6283,2112,433,210,72667
17031190300,5725,3875,96,187,73444
17031190401,4227,1947,126,341,77063
17031190402,5306,3023,61,36,52115
17031190601,4616,2060,183,0,63589
17031190602,5551,2712,188,55,56689
17031190701,3066,1739,48,42,59000
17031190702,5127,2227,249,0,49125
17031190800,6533,2451,207,81,54617
17031190900,2078,1262,122,67,64242
17031191000,2731,1370,76,144,59000
17031191100,6748,3094,284,227,55907
17031191200,4127,1828,153,19,54938
17031191301,5405,1931,161,444,57981
17031191302,4849,2014,259,39,67572
17031200100,3673,1693,41,306,63523
17031200200,4248,1836,205,125,61319
17031200300,1977,1033,216,8,56125
17031200401,3269,1576,167,0,64559
17031200402,5179,2476,166,187,68872
17031210100,4162,2614,126,226,94781
17031210400,2325,1165,52,60,55455
17031210501,2719,1807,64,231,54481
17031210502,4652,2019,231,118,65968
17031210601,3026,1439,50,423,85545
17031210602,4128,2351,31,250,94605
17031210700,3795,2628,97,78,77442
17031210800,1150,691,9,0,67308
17031210900,3157,2023,186,183,95975
17031220300,2027,1401,48,152,96641
17031220400,2819,2221,10,239,95962
17031220500,2512,1780,119,121,86953
17031220601,1535,1126,104,35,113063
17031220602,4534,3030,542,284,61159
17031220701,3080,1879,169,42,70022
17031220702,4129,2567,197,108,71174
17031220901,2943,1749,426,30,74167
17031220902,3139,1942,68,60,69167
17031221000,2570,1699,161,39,82813
17031221100,4498,2917,452,169,78073
17031221200,3074,2071,363,131,124450
17031221300,3021,1927,204,167,69643
17031221400,3246,2151,194,224,97404
17031221500,2763,2050,401,32,62952
17031221600,3468,2593,109,375,143750
17031222200,2320,1977,82,134,167188
17031222500,1574,1152,53,36,103125
17031222600,1650,1086,101,83,75078
17031222700,2357,1406,92,28,75943
17031222800,1000,475,115,3,80850
17031222900,1052,590,153,0,74940
17031230100,1743,1039,231,68,84583
17031230200,1979,1262,180,49,64844
17031230300,825,374,87,0,52557
17031230400,2281,1068,30,48,76286
17031230500,3379,1150,320,197,24250
17031230600,8743,2983,2277,0,50603
17031230700,5847,1921,638,0,42891
17031230800,1084,609,59,0,61111
17031230900,5031,2325,834,77,60337
17031231100,1331,30,869,6,55714
17031231200,6292,560,4494,1,39042
17031231500,5865,284,4373,0,30341
17031240200,1811,1260,33,113,144659
17031240300,1294,964,76,135,139432
17031240500,2518,2112,49,190,167768
17031240600,1641,1188,161,117,144286
17031240700,1704,1191,199,73,93534
